「何かが終わり、また何かが始まるんだ」こうしてずっと、この世界は廻ってる。,Mｒ，Children
『道』この道を行けばどうなるのかと危ぶむなかれ。危ぶめば道はなし。踏み出せばその一足が道となる。その一足が道である。わからなくても歩いて行け。行けば分かるよ。,清沢哲夫
…一度後ろを向いたら、登る陽は見えない…,『サンクチュアリ』
4つのものは、かえってこない。口から出た言葉。放たれた矢、過去の生活、そして失った機会。,アラブのことわざ
My direction is as pleasing to the soul.魂にとって心地よい生活がしたい。,イヴォン・シュイナード
No Rain No Rainbow.雨が降るから虹も出る。,ハワイのことわざ
"Stay hungry,stay foolish.ハングリーであれ、愚かであれ。",『Whole Earth Catalog』
足踏みしてても、クツは減るぜ,『純ブライド』
明日死ぬがごとく生き、永遠に生きるがごとく学べ,マハトマ・ガンジー
明日に伸ばしてもいいのは、やり残して死んでも構わないことだけだ。,パブロ・ピカソ
明日を変えるのは君のたった今。未来を変えるのは君のたった今。,GAKU-MC
遊ばざる者、働くべからず。,『パタゴニア・プレゼンツ』 エスクァイア・ジャパン
あなたが望む世界を見るためには、貴方自身が変わっていかなくてはならないのです。,マハトマ・ガンジー
貴方にとって全てが向かい風のように見える時、思い出そう。飛行機は、追い風ではなく、向かい風によって飛び立つのだということを。,ヘンリー・フォード
あなたの知らないところに、いろいろな人生がある。あなたの人生がかけがえのないようにあなたの知らない人生もまたかけがえない。人を愛するということは、知らない人生を知るということだ。,灰谷健次郎
貴方の欲しいものは全て、恐れの向う側にある。,ジャック・キャンフィールド
貴方は自分の人生を生きるために生まれてきたのよ。,映画『サウンド・オブ・ミュージック』 20世紀フォックスホームエンターテインメントジャパン
あの空の青い色は、子供の時は同じだろうか。,『パタゴニア・プレゼンツ』（エスクァイア・ジャパン）
あらゆる旅は、その速さに比例してつまらなくなる。,ジョン・ラスキン
ありふれた足跡なんだと思ってた。二度と踏めない足跡だった。,神戸女子大学
ある日の真実が永遠の真実ではない。,チェ・ゲバラ
ある船は東に、別の船は西に行く。進路を決めるのは風ではない。帆の向きである。,エラ・ヴィーラー・ウィルコックス（アメリカの詩人）
一瞬の衝動は永遠の激動。その場所から飛ぶなら今ほら,Bivattchee
一生、雑魚であれ。死ぬまで、学ぶ心を忘れない。一生旅人であれ。死ぬまで、出会いの喜びを忘れない。,ある旅人のことば
いつもしていることをし続けていれば、いつも得ているものしか得られない。今自分が得ているものが気に入らなければ、自分の行動を変えるしか無い。,ジャック・キャンフィールド（アメリカの作家）
美しい物を見つけるために、私たちは世界中を旅行するが、自らも美しいものを携えていかねば、それは見つからないだろう。,ラルフ・ワルド・エマーソン
選び疲れて眠るより、歩き疲れて眠りたい。,砂漠の民の言葉
大人たちに褒められるようなバカにはなりたくない,The Blue Hearts
重いものをみんな棄てると風の様に歩けそうです。,高村光太郎
オレは転んだんじゃない。地球がオレ に衝突したんだ,岡本太郎
枯れない花はないが、咲かない花はある。世の中は決定的に不公平だ,西尾維新
変わり続けるのさ。変わらないために。空に漂う雲のように流れ続けるのさ。流される前に。風に逆らう鳥のように。,Caravan
考え過ぎると人間は臆病になる。,映画『コクーン』
危険を犯して前へ進もうとしない人、未知の世界を旅しようとしない人には、人生は、ごく僅かな景色しか見せてくれないんだよ。,シドニー・ポワチエ（アメリカの映画俳優・監督）
今日という日は、残された人生で最初の日。,チャールズ・ディードリッヒ（アメリカの薬物中毒患者救済機関の設立者）
今日を楽しめ。自分自身の人生を忘れがたいものにするのだ。,N・H・クラインバウム『いまを生きる』
好奇心はいつだって、新しい道を教えてくれる。,ウォルト・ディズニー（ウォルト・ディズニー・カンパニー創設者）
行動とは自分を満足いかん場所から自分をカッコエエと思える場所へ移動させるときに使う一番手っ取り早い交通手段のことである。いわばチャリンコみたいなもんや。,三代目魚武濱田成夫
心で見なくちゃ、物事はよく見えない。本当に大切なことは、目に見えないんだよ。,サン＝テグジュペリ
答えがないのも、答えの一つ。,ネイティブアメリカン。ホビ族に伝わる格言
この海で一番自由な奴が海賊王だ！,モンキー・D・ルフィ
砂漠が美しいのは、どこかに井戸を隠しているからだよ。,サン＝テグジュペリ
彷徨える者全てが迷子になるとは限らない。,J.R.R.トールキン
幸せとは、旅の仕方であって、行き先のことではない。,ロイ・M・グッドマン（アメリカの政治家・実業家）
下を向いたままだと虹を見つけることはできません。,チャールズ・チャップリン
自分の行く道は、自分で決めたほうが、楽しいに決まってる。,『MAZDA』 キャッチコピー
自分の女さえ幸せにできない奴に、日本も地球も幸せにできない。,高橋歩
自分の世界の広さは「心の広さ」に比例している。,ウェイン・W・ダイアー（アメリカのスピリチュアリスト）
人生に安定などない。されば不安定に強き漢になろう。,桜井章一
人生には二通りの生き方しか無い。ひとつは、奇跡などないかのような生き方。もうひとつは、全てが奇跡であるかのような生き方。,アルベルト・アインシュタイン（ドイツの理論物理学者）
人生は速度を上げるだけが能ではない。,マハトマ・ガンジー
人生はどれだけ呼吸し続けるのかで決まるのではない。どれだけ心震える瞬間があるかだ。,ジョージ・カーリン
